word,times
经营,320
产品,277
推动,277
事业部,262
进一步,251
业务,248
市场,231
用户,222
中国,211
职能,204
新,201
做好,198
工作,189
变革,189
创新,185
纪要,174
区域,173
企业,173
思维,171
战略,150
时代,137
研发,137
发展,130
重点,129
提升,124
突破,124
坚定,122
00,122
体系,120
团队,120
做,118
管理,113
核心,111
未来,111
投入,109
机制,109
组织,108
布局,108
数字化,108
总监,107
内容,106
国内,106
方法,105
变化,100
模式,100
加大,99
能力,99
中,99
提示,98
牵头,98
确保,97
转型,96
总部,96
负责人,94
品牌,94
管理层,93
发送,92
技术,91
总裁,91
美,89
骨干,89
大胆,88
大楼,88
整理,87
改变,87
品类,87
中央研究院,87
会议室,86
渠道,85
体现,81
海外,77
供应链,77
协同,76
国际,76
财经,75
项目,75
解决,74
人才,74
相关,73
方向,73
现有,72
周一,72
梳理,71
例会,68
内部,67
周,67
效率,66
外部,65
目标,65
优势,64
中心,64
疫情,64
体验,62
科技,60
建立,60
人力资源,60
规划,60
结构,59
引入,59
建设,58
员工,58
面对,58
机会,58
运营,57
改善,56
投资,56
一致性,56
管控,55
执行,55
B2912,55
平台,53
增长,52
公司,52
零售,51
长期,51
尝试,49
制造,49
过程,49
围绕,49
办,48
推进,48
分析,48
行业,48
力度,47
曹志杰,47
调整,47
内销,47
资源,46
落实,46
智能化,46
整体,46
级,46
合规,46
电商,45
小家电,45
落地,44
IoT,44
M4,44
优化,44
持续,43
总经理,43
基础,43
自我,43
清晰,43
势力,43
活力,42
抓住,42
价值,42
互联网,42
思路,41
板块,41
思考,40
高度,39
标准,39
领先,39
终端,38
传播,38
驱动,38
生活,38
风险,37
政策,37
两个,37
强化,37
品质,37
竞争,37
鼓励,36
情况,36
走,36
服务,36
费用,36
发挥,35
审计,35
主轴,35
架构,35
激励,34
冰箱,34
全球,34
九年,34
应对,34
刚性,34
关注,34
库卡,34
王诣,34
流程,34
代理商,33
营销,33
统一,33
数据,33
事项,33
形势,33
加快,33
快速,33
洗衣机,33
经济,33
全,32
消费,32
事情,31
挑战,31
精神,31
探讨,31
层面,31
拿出,30
主体,30
需求,30
影响,30
危机,30
激发,30
力,30
汇报,30
加大力度,30
部门,30
发生,29
传统,29
关键,29
软件,29
价值链,29
构建,29
研究,29
重视,29
化,29
高端,28
李佳怡,28
家用,28
最终,28
成本,28
一年,28
自动化,28
包括,28
聚焦,28
系统,28
四大,28
评估,28
MIB,27
制定,27
客户,27
设计,27
策略,27
预算,27
旧,27
钱伟,26
反思,26
学习,26
方案,26
检讨,26
男,26
执行力,26
文化,26
否定,25
到位,25
格局,25
竞争力,25
库存,25
趋势,25
中央空调,24
理念,24
旗舰店,24
业绩,24
提供,24
小电,24
原则,24
高度重视,23
压力,23
提高,23
机器人,23
微清,23
颠覆,23
现阶段,23
供应商,23
战略性,23
沟通,23
讨论,23
领域,23
盈利,22
借鉴,22
店,22
厨热,22
升级,22
规模,22
本质,22
决策,22
工厂,22
清理,22
办要,22
线,22
希望,22
体制,22
前期,22
面临,22
研究院,22
IT,22
产业,21
机遇,21
高,21
T,21
带来,21
工具,21
说,21
KUKA,21
定位,21
执委会,21
线上,21
弱势,20
达成,20
销售,20
语言,20
A405,20
说到做到,20
提前,20
五大,20
打破,20
一盘,20
专业,20
措施,20
收入,20
现状,20
上要,20
认知,20
评价,19
开放,19
找,19
职能部门,19
上线,19
前,19
专业人才,19
负责,19
专项,19
差距,19
美云销,19
路径,19
年底,19
上海,19
原因,18
利益,18
复工,18
跟上,18
事业,18
制度,18
面向,18
竞争对手,18
智能,18
进度,18
责权利,18
障碍,18
面向未来,18
现金流,18
家电,18
完善,17
世界,17
系统性,17
商业模式,17
想,17
消费者,17
货,17
比例,17
会上,17
三个,17
