word,times
经营,304
推动,277
产品,276
事业部,260
进一步,251
业务,248
市场,231
用户,222
中国,211
做好,196
变革,189
工作,188
创新,181
纪要,174
思维,173
区域,172
企业,170
战略,148
时代,130
发展,130
重点,129
提升,124
突破,124
研发,123
坚定,122
00,122
体系,121
团队,120
未来,111
核心,111
投入,109
布局,108
数字化,108
机制,108
组织,107
内容,106
国内,106
管理,104
能力,100
变化,100
加大,99
提示,98
牵头,98
确保,97
总部,96
转型,96
负责人,94
品牌,93
总监,92
管理层,89
大胆,88
大楼,88
技术,88
整理,87
中央研究院,87
改变,87
方法,87
模式,87
会议室,86
渠道,85
品类,85
体现,81
供应链,77
财经,75
国际,74
海外,74
解决,73
人才,73
现有,73
相关,73
协同,73
总裁办,72
周一,72
梳理,71
项目,70
方向,69
周例会,67
内部,67
效率,66
目标,65
疫情,64
优势,64
体验,62
人力资源,62
建立,60
规划,60
外部,59
引入,59
科技,58
员工,58
运营,57
建设,57
面对,57
机会,57
一致性,56
投资,56
2912,55
管控,55
中心,53
增长,52
改善,52
结构,52
执行,52
平台,51
零售,51
长期,51
思考,49
围绕,49
尝试,49
过程,49
公司,49
制造,49
推进,48
清晰,48
调整,47
志杰,47
资源,46
整体,46
合规,46
落实,46
思路,46
力度,45
电商,45
内销,45
智能化,44
落地,44
行业,44
IoT,44
优化,44
自我,44
总经理,43
抓住,42
小家电,42
互联网,42
活力,42
价值,41
板块,40
标准,39
持续,39
领先,39
高度,38
驱动,38
生活,38
终端,38
传播,38
新的,38
政策,37
强化,37
竞争,37
品质,37
风险,36
鼓励,36
费用,36
服务,35
架构,35
情况,35
主轴,35
审计,35
流程,34
王诣,34
营销,34
全球,34
关注,34
发挥,34
应对,34
激励,34
反思,34
库卡,34
冰箱,34
刚性,34
事项,33
快速,33
代理商,33
统一,33
加快,33
洗衣机,33
数据,33
消费,32
形势,32
层面,32
经济,32
挑战,31
探讨,31
精神,31
汇报,31
事情,31
重视,30
需求,30
主体,30
成本,30
激发,30
部门,30
拿出,30
危机,30
加大力度,30
构建,29
发生,29
价值链,29
影响,29
关键,29
到位,29
传统,29
预算,29
执行力,28
高端,28
聚焦,28
自动化,28
系统,28
家用,28
李佳,28
最终,28
研究,28
评估,28
包括,28
制定,27
策略,27
MIB,27
客户,27
基础,27
势力,27
软件,27
学习,26
微清,26
基础上,26
四大,26
钱伟,26
方案,26
设计,26
文化,26
检讨,26
格局,25
竞争力,25
库存,25
否定,25
分析,25
理念,24
中央空调,24
第一,24
提供,24
原则,24
业绩,24
旗舰店,24
颠覆,23
供应商,23
战略性,23
压力,23
机器人,23
讨论,23
分析会,23
提高,23
现阶段,23
沟通,23
趋势,22
希望,22
家电,22
工厂,22
升级,22
产业,22
前期,22
体制,22
盈利,22
本质,22
研究院,22
借鉴,22
清理,22
高度重视,22
规模,22
面临,22
IT,21
执委会,21
工具,21
带来,21
KUKA,21
定位,21
领域,21
机遇,21
弱势,20
11月,20
提前,20
专业,20
认知,20
五大,20
405,20
收入,20
措施,20
语言,20
达成,20
打破,20
现状,20
销售,20
智能,20
专业人才,19
说到做到,19
评价,19
上线,19
职能部门,19
负责,19
年底,19
开放,19
专项,19
差距,19
总裁,19
路径,19
决策,19
利益,18
事业群,18
原因,18
复工,18
新方法,18
竞争对手,18
障碍,18
责权利,18
三大,18
进度,18
制度,18
面向,18
面向未来,18
跟上,18
完善,17
下沉,17
消费者,17
审批,17
激励机制,17
现金流,17
系统性,17
世界,17
TLSC,17
协助,17
商业模式,17
比例,17
中台,17
拓展,17
努力,17
肖明光,16
错失,16
日常,16
安得,16
资金,16
跟进,16
勇气,16
行动力,16
规则,16
表现,16
商业,16
新势力,16
经历,16
方式,16
程度,16
办公,16
减少,16
意见,16
舞弊,16
空间,16
选择,16
3月,16
支持,16
跨境,16
环节,16
考核,16
